0,1
Data/z8v0h.png,z8v0h
captcha_dataset/x4on6.png,x4on6
captcha_dataset/07921.png,07921
captcha_dataset/fsvmv.png,fsvmv
captcha_dataset/4w2xj.png,4w2xj
captcha_dataset/d06rf.png,d06rf
captcha_dataset/sfi9n.png,sfi9n
captcha_dataset/tdc8m.png,tdc8m
captcha_dataset/hz6gi.png,hz6gi
captcha_dataset/shktw.png,shktw
captcha_dataset/6r8q3.png,6r8q3
captcha_dataset/zf9we.png,zf9we
captcha_dataset/7x6fa.png,7x6fa
captcha_dataset/4w9to.png,4w9to
captcha_dataset/2ucaz.png,2ucaz
captcha_dataset/c5cy4.png,c5cy4
captcha_dataset/7uoyk.png,7uoyk
captcha_dataset/oar9t.png,oar9t
captcha_dataset/stubs.png,stubs
captcha_dataset/sxcsu.png,sxcsu
captcha_dataset/l8xan.png,l8xan
Data/zhgjj.png,zhgjj
Data/z83dh.png,z83dh
captcha_dataset/2e9lb.png,2e9lb
captcha_dataset/lz0et.png,lz0et
captcha_dataset/x273v.png,x273v
captcha_dataset/wn9cg.png,wn9cg
captcha_dataset/ly3r5.png,ly3r5
captcha_dataset/a9i9x.png,a9i9x
captcha_dataset/m4lat.png,m4lat
captcha_dataset/1kc5q.png,1kc5q
captcha_dataset/o9t5k.png,o9t5k
captcha_dataset/jtc1v.png,jtc1v
captcha_dataset/jjhu1.png,jjhu1
captcha_dataset/1fxn8.png,1fxn8
captcha_dataset/pxhek.png,pxhek
captcha_dataset/alzl0.png,alzl0
captcha_dataset/jyqbn.png,jyqbn
captcha_dataset/w9jiu.png,w9jiu
captcha_dataset/8ufth.png,8ufth
captcha_dataset/3yxtt.png,3yxtt
captcha_dataset/gaq4t.png,gaq4t
captcha_dataset/emy99.png,emy99
Data/zinuk.png,zinuk
captcha_dataset/mn4l8.png,mn4l8
captcha_dataset/qxvp6.png,qxvp6
captcha_dataset/s2qb1.png,s2qb1
captcha_dataset/5nerp.png,5nerp
captcha_dataset/97ejv.png,97ejv
captcha_dataset/2qpla.png,2qpla
captcha_dataset/j60eu.png,j60eu
captcha_dataset/yi67g.png,yi67g
captcha_dataset/8h66u.png,8h66u
captcha_dataset/6fkib.png,6fkib
captcha_dataset/bzqyp.png,bzqyp
captcha_dataset/2frzr.png,2frzr
captcha_dataset/jut8b.png,jut8b
captcha_dataset/wx6ve.png,wx6ve
captcha_dataset/mhhsp.png,mhhsp
captcha_dataset/92hib.png,92hib
captcha_dataset/phtw2.png,phtw2
captcha_dataset/qs126.png,qs126
captcha_dataset/y173v.png,y173v
captcha_dataset/8zco6.png,8zco6
captcha_dataset/mgxwg.png,mgxwg
captcha_dataset/33i7g.png,33i7g
captcha_dataset/fowyg.png,fowyg
captcha_dataset/rktru.png,rktru
captcha_dataset/xa339.png,xa339
captcha_dataset/a6625.png,a6625
captcha_dataset/c0kqn.png,c0kqn
captcha_dataset/sw6yh.png,sw6yh
captcha_dataset/98s30.png,98s30
captcha_dataset/fbbtf.png,fbbtf
captcha_dataset/x72wu.png,x72wu
captcha_dataset/nn2ua.png,nn2ua
captcha_dataset/vbjuy.png,vbjuy
captcha_dataset/03qzg.png,03qzg
captcha_dataset/ll8j1.png,ll8j1
captcha_dataset/25hel.png,25hel
captcha_dataset/ydbo3.png,ydbo3
captcha_dataset/z75z4.png,z75z4
captcha_dataset/eq7nm.png,eq7nm
captcha_dataset/9e6tq.png,9e6tq
captcha_dataset/07613.png,07613
captcha_dataset/847lq.png,847lq
captcha_dataset/8gxb1.png,8gxb1
captcha_dataset/k81t6.png,k81t6
captcha_dataset/z8qnk.png,z8qnk
captcha_dataset/zb70m.png,zb70m
captcha_dataset/8q610.png,8q610
captcha_dataset/c4jod.png,c4jod
captcha_dataset/6zr9s.png,6zr9s
captcha_dataset/gxqtz.png,gxqtz
captcha_dataset/dhrhu.png,dhrhu
captcha_dataset/vtiav.png,vtiav
captcha_dataset/5toa4.png,5toa4
captcha_dataset/kg3eh.png,kg3eh
captcha_dataset/nnkfl.png,nnkfl
captcha_dataset/de1wu.png,de1wu
captcha_dataset/zuji4.png,zuji4
captcha_dataset/smo9f.png,smo9f
captcha_dataset/4n5uo.png,4n5uo
captcha_dataset/lehre.png,lehre
captcha_dataset/wafcb.png,wafcb
captcha_dataset/3n2ee.png,3n2ee
captcha_dataset/264c6.png,264c6
captcha_dataset/bcpbl.png,bcpbl
captcha_dataset/zrlq3.png,zrlq3
captcha_dataset/3hl5w.png,3hl5w
captcha_dataset/73wvr.png,73wvr
captcha_dataset/0noih.png,0noih
captcha_dataset/w7m9b.png,w7m9b
captcha_dataset/7katz.png,7katz
captcha_dataset/4ereb.png,4ereb
captcha_dataset/3ik1d.png,3ik1d
captcha_dataset/sgum1.png,sgum1
captcha_dataset/tqqxq.png,tqqxq
captcha_dataset/ls4yb.png,ls4yb
captcha_dataset/8m9j2.png,8m9j2
captcha_dataset/4yags.png,4yags
Data/z1ybd.png,z1ybd
captcha_dataset/dl7tg.png,dl7tg
captcha_dataset/pxhhz.png,pxhhz
captcha_dataset/tychk.png,tychk
captcha_dataset/mj18k.png,mj18k
captcha_dataset/hmxbb.png,hmxbb
captcha_dataset/056d2.png,056d2
captcha_dataset/74fwx.png,74fwx
captcha_dataset/2i7jx.png,2i7jx
captcha_dataset/tnn07.png,tnn07
captcha_dataset/h36wa.png,h36wa
captcha_dataset/pk568.png,pk568
captcha_dataset/lnokr.png,lnokr
Data/y74sb.png,y74sb
captcha_dataset/6svrr.png,6svrr
captcha_dataset/awjks.png,awjks
captcha_dataset/4tn8m.png,4tn8m
captcha_dataset/9ayw1.png,9ayw1
captcha_dataset/b632e.png,b632e
captcha_dataset/2cubb.png,2cubb
captcha_dataset/8p31o.png,8p31o
captcha_dataset/6de48.png,6de48
captcha_dataset/2owdo.png,2owdo
captcha_dataset/679qo.png,679qo
captcha_dataset/8u87t.png,8u87t
captcha_dataset/rl0n6.png,rl0n6
captcha_dataset/586wa.png,586wa
captcha_dataset/xtqkr.png,xtqkr
captcha_dataset/d00hu.png,d00hu
Data/zxoda.png,zxoda
captcha_dataset/o0oe9.png,o0oe9
captcha_dataset/cup2l.png,cup2l
captcha_dataset/9kt6b.png,9kt6b
captcha_dataset/2shyk.png,2shyk
captcha_dataset/9ad6u.png,9ad6u
captcha_dataset/xqnpx.png,xqnpx
captcha_dataset/3wzx2.png,3wzx2
captcha_dataset/wvpds.png,wvpds
Data/y922x.png,y922x
captcha_dataset/y91yj.png,y91yj
captcha_dataset/2tb59.png,2tb59
captcha_dataset/t9u3f.png,t9u3f
captcha_dataset/7wf5u.png,7wf5u
captcha_dataset/c6c6v.png,c6c6v
captcha_dataset/wrjsd.png,wrjsd
captcha_dataset/atees.png,atees
captcha_dataset/hq1jv.png,hq1jv
captcha_dataset/zudzk.png,zudzk
captcha_dataset/9knid.png,9knid
captcha_dataset/ljall.png,ljall
captcha_dataset/jlrks.png,jlrks
captcha_dataset/pxmio.png,pxmio
captcha_dataset/18gct.png,18gct
captcha_dataset/9yszn.png,9yszn
captcha_dataset/xdbcm.png,xdbcm
captcha_dataset/xe0uq.png,xe0uq
Data/zjv66.png,zjv66
captcha_dataset/3qgfu.png,3qgfu
captcha_dataset/b39ru.png,b39ru
captcha_dataset/pjkjx.png,pjkjx
captcha_dataset/kethp.png,kethp
captcha_dataset/3abu5.png,3abu5
captcha_dataset/iubo4.png,iubo4
captcha_dataset/y2hr5.png,y2hr5
captcha_dataset/07brk.png,07brk
captcha_dataset/an7uw.png,an7uw
captcha_dataset/vvnkl.png,vvnkl
captcha_dataset/xay4v.png,xay4v
captcha_dataset/tumob.png,tumob
captcha_dataset/7tn68.png,7tn68
captcha_dataset/bq1db.png,bq1db
captcha_dataset/b1495.png,b1495
captcha_dataset/hbpst.png,hbpst
captcha_dataset/xp75u.png,xp75u
captcha_dataset/wg1r8.png,wg1r8
captcha_dataset/j5g2v.png,j5g2v
captcha_dataset/9h0z4.png,9h0z4
captcha_dataset/kg8z0.png,kg8z0
captcha_dataset/99ijw.png,99ijw
captcha_dataset/t17jp.png,t17jp
captcha_dataset/hsu3f.png,hsu3f
captcha_dataset/z0f1t.png,z0f1t
captcha_dataset/hpiz2.png,hpiz2
captcha_dataset/vs2t7.png,vs2t7
captcha_dataset/nwuid.png,nwuid
captcha_dataset/qp3u2.png,qp3u2
captcha_dataset/wx93q.png,wx93q
captcha_dataset/iiapa.png,iiapa
captcha_dataset/cewoh.png,cewoh
captcha_dataset/tqdru.png,tqdru
captcha_dataset/dd4yd.png,dd4yd
captcha_dataset/19je0.png,19je0
captcha_dataset/w6gy8.png,w6gy8
captcha_dataset/4xhh3.png,4xhh3
captcha_dataset/0lalo.png,0lalo
captcha_dataset/0l17d.png,0l17d
captcha_dataset/z9611.png,z9611
captcha_dataset/suabp.png,suabp
captcha_dataset/lnkss.png,lnkss
captcha_dataset/a4yoe.png,a4yoe
captcha_dataset/1lnco.png,1lnco
captcha_dataset/g5bg4.png,g5bg4
captcha_dataset/aqfj3.png,aqfj3
captcha_dataset/s9354.png,s9354
captcha_dataset/ryskn.png,ryskn
captcha_dataset/m5jng.png,m5jng
captcha_dataset/pe5i4.png,pe5i4
captcha_dataset/am1vw.png,am1vw
captcha_dataset/ju72m.png,ju72m
captcha_dataset/xjmb2.png,xjmb2
captcha_dataset/gru7d.png,gru7d
captcha_dataset/o9nz7.png,o9nz7
captcha_dataset/dahrv.png,dahrv
captcha_dataset/fwbm5.png,fwbm5
captcha_dataset/4gqyk.png,4gqyk
captcha_dataset/nnn6g.png,nnn6g
captcha_dataset/jhr14.png,jhr14
captcha_dataset/pab0s.png,pab0s
captcha_dataset/4q32q.png,4q32q
captcha_dataset/t7sy4.png,t7sy4
captcha_dataset/6m74u.png,6m74u
captcha_dataset/6z01p.png,6z01p
captcha_dataset/vn4qe.png,vn4qe
captcha_dataset/our9w.png,our9w
captcha_dataset/0hyx4.png,0hyx4
captcha_dataset/pv7ib.png,pv7ib
captcha_dataset/6faru.png,6faru
captcha_dataset/jbovx.png,jbovx
captcha_dataset/l3mo7.png,l3mo7
captcha_dataset/mwocp.png,mwocp
captcha_dataset/fomnx.png,fomnx
captcha_dataset/tqfib.png,tqfib
captcha_dataset/vwv7n.png,vwv7n
captcha_dataset/w8jwk.png,w8jwk
captcha_dataset/uuzj9.png,uuzj9
captcha_dataset/76d8s.png,76d8s
captcha_dataset/qxlhe.png,qxlhe
captcha_dataset/29xz3.png,29xz3
captcha_dataset/csua4.png,csua4
captcha_dataset/g7slc.png,g7slc
captcha_dataset/eldaw.png,eldaw
captcha_dataset/d5rei.png,d5rei
captcha_dataset/xppvo.png,xppvo
captcha_dataset/724fx.png,724fx
captcha_dataset/w8d5e.png,w8d5e
captcha_dataset/jouv1.png,jouv1
captcha_dataset/lbjwo.png,lbjwo
captcha_dataset/z86p1.png,z86p1
captcha_dataset/rs7ke.png,rs7ke
captcha_dataset/4d5fw.png,4d5fw
captcha_dataset/zbc6f.png,zbc6f
captcha_dataset/r81b0.png,r81b0
captcha_dataset/20ul8.png,20ul8
Data/zrtj6.png,zrtj6
